Order City,Order State,Dest_Lat,Dest_Lon
Jerusalén,Jerusalén,31.7788472,35.2257856
Bélgorod,Bélgorod,50.5955595,36.5873394
Cheliábinsk,Cheliábinsk,55.1598408,61.4025547
Eunápolis,Bahía,-16.3766148,-39.586449
Caçador,Santa Catarina,-26.7737784,-51.0134844
Camagüey,Camagüey,21.3791765,-77.9183681
Zanyán,Zanyán,,
San Cristóbal,Táchira,7.7756663,-72.2214154
El Limón,Aragua,10.2925851,-67.6298607
Namangán,Namangán,40.9996482,71.6726238
Mossoró,Río Grande del Norte,-5.1904332,-37.3443872
Fayún,Fayún,29.3074076,30.8399651
Jataí,Goiás,-17.8856178,-51.7202967
Gómel,Gómel,52.4238936,31.0131698
Araçatuba,São Paulo,-21.207992,-50.4390225
Vínnytsia,Vínnytsia,49.2320162,28.467975
Mazyr,Gómel,52.0494531,29.2676261
Querétaro,Querétaro,20.5922997,-100.3917424
Asunción,Asunción,-25.30066,-57.63591
Córdoba,Córdoba,37.8845813,-4.7760138
Santo André,São Paulo,-23.6533509,-46.5279039
Consolación del Sur,Pinar del Río,22.5040475,-83.5154619
Astracán,Astracán,46.3498308,48.0326203
Mérida,Yucatán,20.9670759,-89.6237402
San Luis Río Colorado,Sonora,32.4822164,-114.7816893
San Miguelito,Panamá,13.7417467,-87.4935547
Culiacán,Sinaloa,24.7978965,-107.393395
Shanghái,Shanghái,31.2323437,121.4691024
Kütahya,Kütahya,39.4199106,29.9857886
Ocotlán,Jalisco,20.3514474,-102.768809
San Pedro de Macorís,San Pedro de Macorís,18.4617093,-69.3031847
Valparaíso,Valparaíso,1.1961248,-75.7059684
Arraiján,Panamá,8.9453238,-79.6422757
Camaçari,Bahía,-12.6998188,-38.3260762
San Luis Potosí,San Luis Potosí,22.1516472,-100.9763993
Apatzingán de la Constitución,Michoacán,19.0913792,-102.3537356
Anápolis,Goiás,-16.3332828,-48.9525756
Paysandú,Paysandú,-32.3217257,-58.0892136
Klaipėda,Klaipėda,55.7127529,21.1350469
Teherán,Teherán,35.6892523,51.3896004
Ilhéus,Bahía,-14.792599,-39.0453843
Metz,Alsacia-Champaña-Ardenas-Lorena,,
Águas Lindas de Goiás,Goiás,-15.7392283,-48.2793357
Medellín,Antioquía,6.2443382,-75.573553
Tehuacán,Puebla,18.4599877,-97.3903616
Járkov,Járkov,49.9923181,36.2310146
Grajaú,Marañón,-5.8154034,-46.1361454
Seúl,Seúl,37.539619,127.009676
Açu,Río Grande del Norte,-5.5836471,-36.9139421
Amatitlán,Guatemala,14.4792381,-90.6195248
León,León,42.5989995,-5.5682413
Vitória,Espíritu Santo,-20.3200917,-40.3376682
Colón,Colón,9.3553005,-79.8974085
São Gonçalo,Río de Janeiro,-22.8219014,-43.0309252
Francisco Beltrão,Paraná,-26.0790979,-53.0533527
Lençóis Paulista,São Paulo,-22.6029897,-48.8031367
São José dos Campos,São Paulo,-23.1867782,-45.8854538
Kahramanmaraş,Kahramanmaraş,37.5812744,36.927509
Malambo,Atlántico,10.8653387,-74.7746194
Lázaro Cárdenas,Michoacán,19.4893501,-100.4847041
Holguín,Holguín,20.8869704,-76.2591995
Melchor Ocampo,México,19.7063556,-99.1431933
Santarém,Pará,-2.438489,-54.699611
Potosí,Potosí,-19.5892896,-65.7534713
Nancy,Alsacia-Champaña-Ardenas-Lorena,,
Concepción del Uruguay,Entre Ríos,-32.4851849,-58.2320232
Ibiúna,São Paulo,-23.6544825,-47.220856
San Martín,Cuscatlán,-6.4095133,-76.87125814951699
San Francisco de Macorís,Duarte,19.2974432,-70.2573332
Jacareí,São Paulo,-23.3050682,-45.9723075
